base,folder,camera,file,subfolder,filename,class,count,date_time,date_time_original,focal_length,exif_image_width,exif_image_length,waypoint,site,habitat,canopy_cov,elev_m,sui_top,sui_bottom,lon,lat,face_num,face_dir,camera angle,incline parallel,incline perpendicular,distance to quadrat_cm,deploy date,removal date,notes,aji_note
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0575.JPG.JPG,cf. Lamiaceae,13,2023:09:20 19:00:22,2023:09:20 19:00:22,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0578.JPG.JPG,cf. Lamiaceae,1,2023:09:21 05:00:01,2023:09:21 05:00:01,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0579.JPG.JPG,cf. Lamiaceae,1,2023:09:21 06:00:02,2023:09:21 06:00:02,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0579.JPG.JPG,Euphrasia rostkoviana aggr.,1,2023:09:21 06:00:02,2023:09:21 06:00:02,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0581.JPG.JPG,cf. Lamiaceae,8,2023:09:21 08:00:05,2023:09:21 08:00:05,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0581.JPG.JPG,White flower,1,2023:09:21 08:00:05,2023:09:21 08:00:05,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0582.JPG.JPG,White flower,6,2023:09:21 09:00:06,2023:09:21 09:00:06,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0582.JPG.JPG,cf. Lamiaceae,2,2023:09:21 09:00:06,2023:09:21 09:00:06,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0583.JPG.JPG,White flower,1,2023:09:21 10:00:08,2023:09:21 10:00:08,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0583.JPG.JPG,Yellow flower,2,2023:09:21 10:00:08,2023:09:21 10:00:08,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0583.JPG.JPG,Pink flower,1,2023:09:21 10:00:08,2023:09:21 10:00:08,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0584.JPG.JPG,cf. Lamiaceae,6,2023:09:21 11:00:10,2023:09:21 11:00:10,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0584.JPG.JPG,Yellow flower,2,2023:09:21 11:00:10,2023:09:21 11:00:10,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0584.JPG.JPG,White flower,1,2023:09:21 11:00:10,2023:09:21 11:00:10,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0586.JPG.JPG,Yellow flower,2,2023:09:21 13:00:13,2023:09:21 13:00:13,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0587.JPG.JPG,Ononis spinosa,3,2023:09:21 14:00:14,2023:09:21 14:00:14,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0587.JPG.JPG,White flower,1,2023:09:21 14:00:14,2023:09:21 14:00:14,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0591.JPG.JPG,cf. Lamiaceae,2,2023:09:21 18:00:20,2023:09:21 18:00:20,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0591.JPG.JPG,cf. Thymus sp.,1,2023:09:21 18:00:20,2023:09:21 18:00:20,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0592.JPG.JPG,cf. Lamiaceae,8,2023:09:21 19:00:22,2023:09:21 19:00:22,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
